provinsi,daerah,jenis,tahun,peng,rata_pengeluaran,variasi_pengeluaran,cluster
ACEH,PERDESAAN,TOTAL,2014,563583.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2015,655319.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2016,685080.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2017,781155.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2018,837905.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2019,855674.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2020,945621.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2021,976613.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAAN,TOTAL,2022,1039606.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2007,226639.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2008,258233.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2009,315245.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2010,341142.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2011,383579.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2012,432567.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2013,458451.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2014,505525.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2015,466355.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2016,548853.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2017,610732.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2018,637432.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2019,639421.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2020,655222.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2021,734401.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,MAKANAN,2022,736172.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2007,210374.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2008,249377.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2009,256204.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2010,307607.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2011,373271.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2012,385949.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2013,470393.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2014,470402.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2015,529945.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2016,559492.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2017,576134.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2018,633864.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2019,640399.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2020,704431.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2021,724090.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,NONMAKANAN,2022,716409.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2007,437013.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2008,507609.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2009,571449.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2010,648749.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2011,756850.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2012,818516.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2013,928844.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2014,975927.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2015,996300.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2016,1108346.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2017,1186867.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2018,1271297.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2019,1279820.0,535469.7307692308,275213.6035601345,0
ACEH,PERKOTAAN,TOTAL,2020,1359653.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2011,329257.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2012,356132.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2013,371838.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2014,406835.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2015,415354.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2016,451952.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2017,529161.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2018,547668.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2019,559299.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2020,595634.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2021,643591.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2022,668480.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2011,224798.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2012,227968.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2013,255543.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2014,273015.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2015,336764.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2016,356142.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2017,373833.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2018,426149.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2019,434133.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2020,484536.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2021,494227.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2022,511651.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2011,554055.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2012,584100.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2013,627381.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2014,679850.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2015,752118.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2016,808094.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2017,902994.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2018,973817.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2019,993433.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2020,1080171.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2021,1137819.0,535469.7307692308,275213.6035601345,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2022,1180132.0,535469.7307692308,275213.6035601345,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2007,171299.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2008,198301.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2009,219171.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2010,248859.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2011,308555.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2012,340053.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2013,363252.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2014,382056.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2015,413087.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2016,450979.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2017,490603.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2018,519512.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2019,533737.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2020,544441.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2021,579669.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2022,631364.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2007,110453.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2008,119975.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2009,127622.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2010,150408.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2011,185619.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2012,194661.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2013,207533.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2014,222017.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2015,269407.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2016,287255.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2017,278114.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2018,337487.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2019,369051.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2020,390593.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2021,383019.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2022,404273.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2007,281752.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2008,318276.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2009,346793.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2010,399267.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2011,494174.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2012,534713.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2013,570785.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2014,604073.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2015,682494.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2016,738234.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2017,768718.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2018,857000.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2019,902788.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2020,935035.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2021,962689.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAAN,TOTAL,2022,1035638.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2007,207606.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2008,227521.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2009,257661.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2010,288594.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2011,324392.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2012,349032.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2013,363478.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2014,416319.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2015,416073.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2016,493141.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2017,553690.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2018,586199.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2019,612136.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2020,643456.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2021,630458.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,MAKANAN,2022,689463.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2007,225606.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2008,250148.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2009,274781.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2010,328487.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2011,312932.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2012,316579.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2013,380777.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2014,381027.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2015,453609.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2016,474404.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2017,491793.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2018,544628.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2019,587371.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2020,639799.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2021,657135.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,NONMAKANAN,2022,668871.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2007,433212.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2008,477669.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2009,532442.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2010,617081.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2011,637325.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2012,665611.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2013,744255.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2014,797346.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2015,869682.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2016,967546.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2017,1045483.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2018,1130828.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2019,1199507.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2020,1283255.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2021,1287593.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERKOTAAN,TOTAL,2022,1358335.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2011,316343.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2012,344467.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2013,363363.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2014,398932.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2015,414566.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2016,472220.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2017,522766.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2018,554754.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2019,576322.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2020,598244.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2021,607811.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,MAKANAN,2022,663926.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2011,248222.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2012,254593.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2013,292770.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2014,300335.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2015,360624.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2016,381537.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2017,387051.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2018,446955.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2019,487640.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2020,526007.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2021,534905.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2022,552569.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2011,564565.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2012,599060.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2013,656133.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2014,699267.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2015,775189.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2016,853756.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2017,909817.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2018,1001709.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2019,1063963.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2020,1124252.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2021,1142716.0,531613.9015151515,277237.1634775573,0
SUMATERA UTARA,PERDESAANPERKOTAAN,TOTAL,2022,1216496.0,531613.9015151515,277237.1634775573,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2007,192079.0,584783.25,284823.34718688374,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2008,212391.0,584783.25,284823.34718688374,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2009,238274.0,584783.25,284823.34718688374,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2010,280748.0,584783.25,284823.34718688374,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2011,325893.0,584783.25,284823.34718688374,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2012,370535.0,584783.25,284823.34718688374,0
SUMATERA BARAT,PERDESAAN,MAKANAN,2013,402070.0,584783.25,284823.34718688374,0
